epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.578,1.26535,0.62857,1,0.87497,0.000364679,0.000364679,0.000364679
2,15.5354,0.86546,0.73571,1,0.85896,0.000713491,0.000713491,0.000713491
3,19.1334,0.76648,0.72857,1,0.76463,0.00103767,0.00103767,0.00103767
4,22.6482,0.76703,0.72857,1,0.79437,0.00100101,0.00100101,0.00100101
5,26.0643,0.68152,0.72143,1,0.77395,0.000964348,0.000964348,0.000964348
6,29.3855,0.62136,0.74286,1,0.87071,0.000927685,0.000927685,0.000927685
7,32.8687,0.57836,0.71429,1,0.93347,0.000891022,0.000891022,0.000891022
8,36.1743,0.51456,0.72143,1,0.75937,0.000854359,0.000854359,0.000854359
9,39.5178,0.49053,0.72143,1,0.67893,0.000817696,0.000817696,0.000817696
10,42.9002,0.48692,0.72143,1,0.87625,0.000781033,0.000781033,0.000781033
11,46.4109,0.43483,0.75,1,0.74899,0.00074437,0.00074437,0.00074437
12,49.9208,0.44016,0.68571,1,0.86224,0.000707707,0.000707707,0.000707707
13,53.4762,0.43028,0.75714,1,0.74741,0.000671044,0.000671044,0.000671044
14,57.0061,0.40703,0.76429,1,0.74149,0.000634381,0.000634381,0.000634381
15,60.5143,0.36083,0.72143,1,0.78737,0.000597718,0.000597718,0.000597718
16,63.8301,0.33085,0.78571,1,0.69468,0.000561055,0.000561055,0.000561055
17,67.2111,0.34074,0.75,1,0.7557,0.000524392,0.000524392,0.000524392
18,70.6337,0.31396,0.7,1,0.67601,0.000487729,0.000487729,0.000487729
19,73.9663,0.24453,0.70714,1,0.81757,0.000451066,0.000451066,0.000451066
20,77.5248,0.21063,0.72857,1,0.8101,0.000414403,0.000414403,0.000414403
21,117.794,0.24081,0.74286,1,0.90832,0.00037774,0.00037774,0.00037774
22,121.095,0.21516,0.77857,1,0.79485,0.000341077,0.000341077,0.000341077
23,124.418,0.2172,0.76429,1,0.70973,0.000304414,0.000304414,0.000304414
24,127.744,0.20253,0.75,1,0.80971,0.000267751,0.000267751,0.000267751
25,131.234,0.18511,0.78571,1,0.81847,0.000231088,0.000231088,0.000231088
26,134.885,0.17275,0.80714,1,0.8715,0.000194425,0.000194425,0.000194425
27,138.401,0.15612,0.82857,1,0.78405,0.000157762,0.000157762,0.000157762
28,141.787,0.14853,0.78571,1,0.81911,0.000121099,0.000121099,0.000121099
29,145.135,0.13374,0.78571,1,0.78961,8.4436e-05,8.4436e-05,8.4436e-05
30,148.507,0.12752,0.80714,1,0.74911,4.7773e-05,4.7773e-05,4.7773e-05
