epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.11767,1.33148,0.65714,1,0.79668,0.000364679,0.000364679,0.000364679
2,13.0722,0.81532,0.71429,1,0.76023,0.000723504,0.000723504,0.000723504
3,16.5878,0.67484,0.64286,1,0.77235,0.00106783,0.00106783,0.00106783
4,19.9583,0.73434,0.75,1,0.88436,0.00104624,0.00104624,0.00104624
5,23.3577,0.67909,0.7,1,0.781,0.00102465,0.00102465,0.00102465
6,26.6375,0.67417,0.76429,1,0.70637,0.00100307,0.00100307,0.00100307
7,29.9995,0.61335,0.75714,1,0.74872,0.000981481,0.000981481,0.000981481
8,33.3591,0.60195,0.74286,1,0.72301,0.000959894,0.000959894,0.000959894
9,36.7738,0.58591,0.72857,1,0.83727,0.000938308,0.000938308,0.000938308
10,40.1549,0.58713,0.74286,1,0.81941,0.000916721,0.000916721,0.000916721
11,43.5118,0.53003,0.73571,1,0.74419,0.000895135,0.000895135,0.000895135
12,46.8724,0.52843,0.74286,1,0.72296,0.000873548,0.000873548,0.000873548
13,50.2699,0.51932,0.75,1,0.61166,0.000851962,0.000851962,0.000851962
14,53.7707,0.41484,0.77143,1,0.66108,0.000830375,0.000830375,0.000830375
15,57.2566,0.44061,0.72857,1,0.76003,0.000808789,0.000808789,0.000808789
16,60.7609,0.40735,0.77143,1,0.64052,0.000787202,0.000787202,0.000787202
17,64.3664,0.39842,0.8,1,0.76052,0.000765616,0.000765616,0.000765616
18,67.9752,0.35968,0.76429,1,0.7358,0.000744029,0.000744029,0.000744029
19,71.4268,0.34888,0.78571,1,0.81246,0.000722443,0.000722443,0.000722443
20,74.9844,0.2887,0.77143,1,0.6852,0.000700856,0.000700856,0.000700856
21,78.3927,0.32473,0.8,1,0.812,0.00067927,0.00067927,0.00067927
22,81.9476,0.31167,0.75,1,0.72792,0.000657683,0.000657683,0.000657683
23,85.4157,0.24704,0.81429,1,0.75073,0.000636097,0.000636097,0.000636097
24,88.9789,0.22794,0.8,1,0.59506,0.00061451,0.00061451,0.00061451
25,92.5551,0.23291,0.75,1,0.93501,0.000592924,0.000592924,0.000592924
26,96.0277,0.23462,0.75714,1,0.93293,0.000571337,0.000571337,0.000571337
27,99.6097,0.22296,0.76429,1,0.70267,0.000549751,0.000549751,0.000549751
28,103.135,0.20337,0.76429,1,0.84627,0.000528164,0.000528164,0.000528164
29,106.63,0.20556,0.8,1,0.75404,0.000506578,0.000506578,0.000506578
30,110.176,0.23392,0.81429,1,0.55732,0.000484991,0.000484991,0.000484991
31,113.696,0.22364,0.84286,1,0.65955,0.000463405,0.000463405,0.000463405
32,117.311,0.13297,0.82857,1,0.65333,0.000441818,0.000441818,0.000441818
33,120.777,0.14974,0.85,1,0.58562,0.000420232,0.000420232,0.000420232
34,124.409,0.20225,0.81429,1,0.75195,0.000398645,0.000398645,0.000398645
35,127.873,0.17749,0.79286,1,0.81414,0.000377059,0.000377059,0.000377059
36,131.395,0.15561,0.80714,1,0.64802,0.000355472,0.000355472,0.000355472
37,134.913,0.12129,0.80714,1,0.62055,0.000333886,0.000333886,0.000333886
38,138.552,0.13438,0.85714,1,0.55497,0.000312299,0.000312299,0.000312299
39,142.388,0.15829,0.84286,1,0.67227,0.000290713,0.000290713,0.000290713
40,145.876,0.0939,0.8,1,0.75445,0.000269126,0.000269126,0.000269126
41,182.857,0.0968,0.82143,1,0.70777,0.00024754,0.00024754,0.00024754
42,186.295,0.12538,0.81429,1,0.66205,0.000225953,0.000225953,0.000225953
43,189.615,0.09086,0.80714,1,0.66383,0.000204367,0.000204367,0.000204367
44,192.891,0.09457,0.82143,1,0.69712,0.00018278,0.00018278,0.00018278
45,196.221,0.10149,0.82143,1,0.66568,0.000161194,0.000161194,0.000161194
46,199.665,0.06271,0.84286,1,0.77772,0.000139607,0.000139607,0.000139607
47,203.04,0.09024,0.79286,1,0.66863,0.000118021,0.000118021,0.000118021
48,206.378,0.07234,0.82143,1,0.78141,9.64341e-05,9.64341e-05,9.64341e-05
49,209.795,0.08897,0.80714,1,0.72884,7.48476e-05,7.48476e-05,7.48476e-05
50,213.239,0.06128,0.83571,1,0.6951,5.32611e-05,5.32611e-05,5.32611e-05
