epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.98638,2.49276,0.08333,0.75,2.34139,0,0,0
2,2.56151,2.53719,0.08333,0.83333,2.35132,7.06931e-06,7.06931e-06,7.06931e-06
3,2.91529,2.40096,0.08333,0.83333,2.36849,1.39973e-05,1.39973e-05,1.39973e-05
4,3.31354,2.44287,0.08333,0.83333,2.38216,2.07838e-05,2.07838e-05,2.07838e-05
5,3.68917,2.375,0.08333,0.83333,2.40161,2.7429e-05,2.7429e-05,2.7429e-05
6,4.07477,2.5533,0.08333,0.83333,2.41073,3.39329e-05,3.39329e-05,3.39329e-05
7,4.431,2.30176,0.08333,0.5,2.41886,4.02953e-05,4.02953e-05,4.02953e-05
8,4.78462,2.28312,0.08333,0.5,2.42643,4.65164e-05,4.65164e-05,4.65164e-05
9,5.1358,2.16488,0.08333,0.5,2.4349,5.25961e-05,5.25961e-05,5.25961e-05
10,5.48206,2.01733,0.08333,0.5,2.44149,5.85344e-05,5.85344e-05,5.85344e-05
11,5.85026,2.19328,0.08333,0.5,2.44173,6.43314e-05,6.43314e-05,6.43314e-05
12,6.21975,1.96403,0.16667,0.5,2.4257,6.9987e-05,6.9987e-05,6.9987e-05
13,6.59594,1.98625,0.16667,0.5,2.41699,7.55012e-05,7.55012e-05,7.55012e-05
14,6.99115,1.82682,0.08333,0.5,2.39648,8.08741e-05,8.08741e-05,8.08741e-05
15,7.36167,1.73258,0.08333,0.41667,2.38794,8.61055e-05,8.61055e-05,8.61055e-05
16,7.74674,1.6025,0.08333,0.41667,2.36906,9.11957e-05,9.11957e-05,9.11957e-05
17,8.14227,1.59265,0.08333,0.5,2.34578,9.61444e-05,9.61444e-05,9.61444e-05
18,8.52239,1.44548,0.08333,0.5,2.34578,0.000100952,0.000100952,0.000100952
19,8.93971,1.4871,0.08333,0.5,2.33154,0.000105618,0.000105618,0.000105618
20,9.33853,1.45846,0.08333,0.5,2.33154,0.000110142,0.000110142,0.000110142
21,9.6993,1.2607,0.08333,0.58333,2.31746,0.000114526,0.000114526,0.000114526
22,10.0609,1.19832,0.08333,0.58333,2.31746,0.000118767,0.000118767,0.000118767
23,10.4724,1.21582,0.08333,0.58333,2.29175,0.000122868,0.000122868,0.000122868
24,10.8758,1.07601,0.08333,0.58333,2.29175,0.000126827,0.000126827,0.000126827
25,11.2861,1.07393,0.16667,0.58333,2.26367,0.000130645,0.000130645,0.000130645
26,11.7497,1.07019,0.16667,0.58333,2.26367,0.000134321,0.000134321,0.000134321
27,12.1674,1.01298,0.16667,0.5,2.22624,0.000137856,0.000137856,0.000137856
28,12.5415,1.10482,0.16667,0.5,2.22624,0.00014125,0.00014125,0.00014125
29,12.9116,0.90961,0.16667,0.83333,2.17969,0.000144502,0.000144502,0.000144502
30,13.2463,0.7169,0.16667,0.83333,2.17969,0.000147613,0.000147613,0.000147613
31,13.5789,0.65493,0.16667,0.83333,2.15511,0.000150583,0.000150583,0.000150583
32,13.9021,0.65702,0.16667,0.83333,2.15511,0.000153411,0.000153411,0.000153411
33,14.2482,0.65454,0.25,0.83333,2.12756,0.000156098,0.000156098,0.000156098
34,14.5737,0.64283,0.25,0.83333,2.12756,0.000158643,0.000158643,0.000158643
35,14.9313,0.63018,0.25,0.91667,2.1073,0.000161047,0.000161047,0.000161047
36,15.2854,0.67401,0.25,0.91667,2.1073,0.00016331,0.00016331,0.00016331
