epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.3807,1.3232,0.66429,1,0.80744,0.000361917,0.000361917,0.000361917
2,14.22,0.80607,0.66429,1,0.92822,0.000717751,0.000717751,0.000717751
3,18.0295,0.75981,0.69286,1,0.77448,0.00105892,0.00105892,0.00105892
4,22.7268,0.73271,0.77143,1,0.82298,0.00104501,0.00104501,0.00104501
5,27.2117,0.69116,0.67857,1,0.92734,0.00102301,0.00102301,0.00102301
6,31.7057,0.59951,0.70714,1,0.78704,0.00100101,0.00100101,0.00100101
7,36.1061,0.57497,0.75714,1,0.68475,0.000979013,0.000979013,0.000979013
8,40.5448,0.53599,0.74286,1,0.74329,0.000957015,0.000957015,0.000957015
9,44.2434,0.53438,0.72143,1,0.7597,0.000935018,0.000935018,0.000935018
10,48.3758,0.57086,0.75714,1,1.01912,0.00091302,0.00091302,0.00091302
11,52.4122,0.49579,0.78571,1,0.5238,0.000891022,0.000891022,0.000891022
12,55.8778,0.44736,0.75,1,0.77355,0.000869024,0.000869024,0.000869024
13,59.6354,0.45311,0.76429,1,0.64423,0.000847026,0.000847026,0.000847026
14,63.0897,0.37081,0.77143,1,0.59615,0.000825029,0.000825029,0.000825029
15,66.6385,0.3313,0.65,1,0.80833,0.000803031,0.000803031,0.000803031
16,70.3931,0.42043,0.79286,1,0.67096,0.000781033,0.000781033,0.000781033
