epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.4518,1.3232,0.66429,1,0.80744,0.000361917,0.000361917,0.000361917
2,19.5381,0.80607,0.66429,1,0.92822,0.000717751,0.000717751,0.000717751
3,24.7803,0.75981,0.69286,1,0.77448,0.00105892,0.00105892,0.00105892
4,29.3137,0.73271,0.77143,1,0.82298,0.00104501,0.00104501,0.00104501
5,33.1944,0.69116,0.67857,1,0.92734,0.00102301,0.00102301,0.00102301
6,36.6313,0.59951,0.70714,1,0.78704,0.00100101,0.00100101,0.00100101
7,39.9791,0.57497,0.75714,1,0.68475,0.000979013,0.000979013,0.000979013
8,44.5451,0.53599,0.74286,1,0.74329,0.000957015,0.000957015,0.000957015
9,49.2987,0.53438,0.72143,1,0.7597,0.000935018,0.000935018,0.000935018
10,53.9579,0.57086,0.75714,1,1.01912,0.00091302,0.00091302,0.00091302
11,58.4798,0.49579,0.78571,1,0.5238,0.000891022,0.000891022,0.000891022
12,63.1125,0.44736,0.75,1,0.77355,0.000869024,0.000869024,0.000869024
13,66.5626,0.45311,0.76429,1,0.64423,0.000847026,0.000847026,0.000847026
14,70.1266,0.37081,0.77143,1,0.59615,0.000825029,0.000825029,0.000825029
15,73.6114,0.3313,0.65,1,0.80833,0.000803031,0.000803031,0.000803031
16,77.0217,0.42043,0.79286,1,0.67096,0.000781033,0.000781033,0.000781033
17,80.6182,0.41357,0.78571,1,0.76494,0.000759035,0.000759035,0.000759035
18,84.033,0.35143,0.80714,1,0.54559,0.000737037,0.000737037,0.000737037
19,87.5519,0.3052,0.78571,1,0.64467,0.00071504,0.00071504,0.00071504
20,91.0831,0.26557,0.75714,1,0.7501,0.000693042,0.000693042,0.000693042
21,94.6743,0.25203,0.75,1,0.89552,0.000671044,0.000671044,0.000671044
22,98.218,0.26225,0.8,1,0.77431,0.000649046,0.000649046,0.000649046
23,101.855,0.22426,0.73571,1,0.87367,0.000627048,0.000627048,0.000627048
24,105.662,0.23445,0.75,1,0.94279,0.000605051,0.000605051,0.000605051
25,109.247,0.24049,0.75,1,0.82341,0.000583053,0.000583053,0.000583053
26,112.691,0.17042,0.78571,1,0.79492,0.000561055,0.000561055,0.000561055
27,116.161,0.20591,0.69286,1,0.83965,0.000539057,0.000539057,0.000539057
28,119.877,0.16604,0.7,1,1.13791,0.000517059,0.000517059,0.000517059
29,123.21,0.18578,0.72857,1,1.02198,0.000495062,0.000495062,0.000495062
30,126.691,0.13826,0.79286,1,0.75507,0.000473064,0.000473064,0.000473064
31,130.236,0.13168,0.73571,1,1.01481,0.000451066,0.000451066,0.000451066
32,134.023,0.13033,0.74286,1,0.95085,0.000429068,0.000429068,0.000429068
33,137.597,0.11486,0.75714,1,0.79725,0.00040707,0.00040707,0.00040707
34,141.03,0.12328,0.77143,1,0.90147,0.000385073,0.000385073,0.000385073
35,144.544,0.11582,0.77857,1,0.98075,0.000363075,0.000363075,0.000363075
36,148.166,0.11846,0.77143,1,0.88129,0.000341077,0.000341077,0.000341077
37,151.833,0.09353,0.77857,1,0.87959,0.000319079,0.000319079,0.000319079
38,155.326,0.10301,0.79286,1,1.03564,0.000297081,0.000297081,0.000297081
39,159.027,0.11536,0.80714,1,1.11201,0.000275084,0.000275084,0.000275084
40,162.653,0.08872,0.77857,1,1.05346,0.000253086,0.000253086,0.000253086
41,205.499,0.08638,0.79286,1,1.02935,0.000231088,0.000231088,0.000231088
42,210.165,0.0749,0.77143,1,0.928,0.00020909,0.00020909,0.00020909
43,214.87,0.06462,0.75,1,0.9504,0.000187092,0.000187092,0.000187092
44,219.409,0.05119,0.79286,1,0.95457,0.000165095,0.000165095,0.000165095
45,224.091,0.09317,0.78571,1,0.93154,0.000143097,0.000143097,0.000143097
46,228.766,0.05839,0.74286,1,0.97081,0.000121099,0.000121099,0.000121099
47,233.272,0.05673,0.75,1,0.95888,9.91012e-05,9.91012e-05,9.91012e-05
48,237.876,0.03857,0.76429,1,1.11826,7.71034e-05,7.71034e-05,7.71034e-05
49,242.458,0.07563,0.78571,1,0.98446,5.51056e-05,5.51056e-05,5.51056e-05
50,247.166,0.05899,0.75,1,0.92313,3.31078e-05,3.31078e-05,3.31078e-05
