epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.1034,1.32884,0.62143,1,0.88296,0.000361917,0.000361917,0.000361917
2,15.6486,0.819,0.67143,1,0.86915,0.000717945,0.000717945,0.000717945
3,20.6577,0.74406,0.65714,1,0.87218,0.0010595,0.0010595,0.0010595
4,25.1108,0.74329,0.7,1,0.79921,0.00104589,0.00104589,0.00104589
5,29.9827,0.72979,0.74286,1,0.85471,0.00102418,0.00102418,0.00102418
6,34.515,0.69428,0.72857,1,0.75163,0.00100248,0.00100248,0.00100248
7,39.0904,0.58952,0.72143,1,0.6702,0.000980777,0.000980777,0.000980777
8,43.5587,0.58884,0.72143,1,0.85003,0.000959073,0.000959073,0.000959073
9,48.0185,0.55171,0.74286,1,0.78648,0.000937369,0.000937369,0.000937369
10,52.223,0.59288,0.77143,1,0.87763,0.000915666,0.000915666,0.000915666
11,56.1663,0.51646,0.77857,1,0.61844,0.000893962,0.000893962,0.000893962
12,60.0802,0.52525,0.76429,1,0.92799,0.000872258,0.000872258,0.000872258
13,63.6528,0.55092,0.79286,1,0.56606,0.000850554,0.000850554,0.000850554
14,67.3968,0.43475,0.78571,1,0.67376,0.00082885,0.00082885,0.00082885
15,70.6972,0.41772,0.8,1,0.70858,0.000807146,0.000807146,0.000807146
16,74.1035,0.38866,0.75,1,0.69816,0.000785443,0.000785443,0.000785443
17,77.542,0.37332,0.77143,1,1.1486,0.000763739,0.000763739,0.000763739
18,81.0022,0.38064,0.77857,1,0.61078,0.000742035,0.000742035,0.000742035
19,84.4999,0.32821,0.82143,1,0.78362,0.000720331,0.000720331,0.000720331
20,88.0547,0.31222,0.82143,1,0.66407,0.000698627,0.000698627,0.000698627
21,91.6348,0.29175,0.78571,1,0.66797,0.000676923,0.000676923,0.000676923
