epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.8865,1.28807,0.67857,1,0.86199,0.000361917,0.000361917,0.000361917
2,14.8266,0.89647,0.75714,1,0.93285,0.000696004,0.000696004,0.000696004
3,18.3708,0.77997,0.73571,1,0.74144,0.000993428,0.000993428,0.000993428
4,21.9884,0.68477,0.75,1,0.82078,0.000946016,0.000946016,0.000946016
5,25.5225,0.61115,0.75,1,0.75133,0.000891022,0.000891022,0.000891022
6,29.0288,0.57966,0.71429,1,0.78689,0.000836027,0.000836027,0.000836027
7,32.5547,0.51976,0.72143,1,0.74672,0.000781033,0.000781033,0.000781033
8,36.2314,0.44955,0.77857,1,0.71885,0.000726038,0.000726038,0.000726038
9,39.6803,0.47261,0.73571,1,0.71992,0.000671044,0.000671044,0.000671044
10,43.148,0.48893,0.72857,1,0.79855,0.000616049,0.000616049,0.000616049
11,87.2455,0.41952,0.80714,1,0.60378,0.000561055,0.000561055,0.000561055
12,90.9245,0.37888,0.78571,1,0.71918,0.00050606,0.00050606,0.00050606
13,94.579,0.33529,0.75714,1,0.72054,0.000451066,0.000451066,0.000451066
14,98.3832,0.30796,0.72857,1,0.7497,0.000396071,0.000396071,0.000396071
15,102.203,0.3143,0.75714,1,0.84977,0.000341077,0.000341077,0.000341077
16,105.953,0.26012,0.72857,1,0.77818,0.000286083,0.000286083,0.000286083
17,109.768,0.26708,0.75,1,0.92756,0.000231088,0.000231088,0.000231088
18,113.627,0.22304,0.73571,1,0.83158,0.000176094,0.000176094,0.000176094
19,117.403,0.21325,0.72143,1,0.81538,0.000121099,0.000121099,0.000121099
20,121.289,0.19041,0.72857,1,0.93113,6.61045e-05,6.61045e-05,6.61045e-05
