epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
39,237.035,0.35849,0.79286,1,0.7033,0.0288925,0.00963083,0.0288925,0.00963083,0.0288925,0.00963083,0.0288925,0.00963083
40,243.355,0.36853,0.72143,1,1.04522,0.0288634,0.00962112,0.0288634,0.00962112,0.0288634,0.00962112,0.0288634,0.00962112
41,249.654,0.32882,0.76429,1,0.99673,0.0288342,0.0096114,0.0288342,0.0096114,0.0288342,0.0096114,0.0288342,0.0096114
42,254.665,0.33032,0.70714,1,0.92786,0.0288051,0.00960169,0.0288051,0.00960169,0.0288051,0.00960169,0.0288051,0.00960169
43,260.515,0.30739,0.72143,1,0.88137,0.0287759,0.00959197,0.0287759,0.00959197,0.0287759,0.00959197,0.0287759,0.00959197
44,266.843,0.35917,0.73571,1,1.12344,0.0287468,0.00958226,0.0287468,0.00958226,0.0287468,0.00958226,0.0287468,0.00958226
45,272.982,0.2978,0.72857,1,0.99669,0.0287176,0.00957254,0.0287176,0.00957254,0.0287176,0.00957254,0.0287176,0.00957254
46,279.072,0.3423,0.74286,1,1.2197,0.0286885,0.00956283,0.0286885,0.00956283,0.0286885,0.00956283,0.0286885,0.00956283
47,285.177,0.34074,0.77857,1,0.74531,0.0286593,0.00955311,0.0286593,0.00955311,0.0286593,0.00955311,0.0286593,0.00955311
48,291.484,0.30121,0.75714,1,0.83293,0.0286302,0.0095434,0.0286302,0.0095434,0.0286302,0.0095434,0.0286302,0.0095434
49,310.123,0.26474,0.77143,1,0.74764,0.0286011,0.00953368,0.0286011,0.00953368,0.0286011,0.00953368,0.0286011,0.00953368
50,317.066,0.30597,0.79286,1,0.70384,0.0285719,0.00952397,0.0285719,0.00952397,0.0285719,0.00952397,0.0285719,0.00952397
51,322.858,0.27035,0.78571,1,0.69792,0.0285428,0.00951425,0.0285428,0.00951425,0.0285428,0.00951425,0.0285428,0.00951425
52,327.834,0.24787,0.75714,1,0.84319,0.0285136,0.00950454,0.0285136,0.00950454,0.0285136,0.00950454,0.0285136,0.00950454
53,333.02,0.24888,0.74286,1,0.98319,0.0284845,0.00949483,0.0284845,0.00949483,0.0284845,0.00949483,0.0284845,0.00949483
54,337.728,0.26145,0.77143,1,0.73005,0.0284553,0.00948511,0.0284553,0.00948511,0.0284553,0.00948511,0.0284553,0.00948511
55,342.621,0.20133,0.77143,1,0.9306,0.0284262,0.0094754,0.0284262,0.0094754,0.0284262,0.0094754,0.0284262,0.0094754
56,347.242,0.20768,0.76429,1,0.82085,0.028397,0.00946568,0.028397,0.00946568,0.028397,0.00946568,0.028397,0.00946568
57,351.501,0.28528,0.77857,1,1.02942,0.0283679,0.00945597,0.0283679,0.00945597,0.0283679,0.00945597,0.0283679,0.00945597
58,356.258,0.23589,0.7,1,1.19823,0.0283388,0.00944625,0.0283388,0.00944625,0.0283388,0.00944625,0.0283388,0.00944625
59,362.701,0.22512,0.75,1,1.01624,0.0283096,0.00943654,0.0283096,0.00943654,0.0283096,0.00943654,0.0283096,0.00943654
