epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.0158,1.32769,0.61429,1,0.94931,0.00984733,0.00328244,0.00984733,0.00328244,0.00984733,0.00328244,0.00984733,0.00328244
2,18.6527,0.94939,0.69286,1,0.93996,0.0199043,0.00663477,0.0199043,0.00663477,0.0199043,0.00663477,0.0199043,0.00663477
3,25.6539,0.8019,0.66429,1,0.8754,0.0299417,0.00998057,0.0299417,0.00998057,0.0299417,0.00998057,0.0299417,0.00998057
4,32.0217,0.77936,0.75714,1,0.7488,0.0299126,0.00997086,0.0299126,0.00997086,0.0299126,0.00997086,0.0299126,0.00997086
5,38.3596,0.71259,0.7,1,0.7808,0.0298834,0.00996114,0.0298834,0.00996114,0.0298834,0.00996114,0.0298834,0.00996114
6,44.2164,0.78122,0.73571,1,0.78534,0.0298543,0.00995143,0.0298543,0.00995143,0.0298543,0.00995143,0.0298543,0.00995143
7,49.5258,0.70248,0.75714,1,0.8188,0.0298251,0.00994171,0.0298251,0.00994171,0.0298251,0.00994171,0.0298251,0.00994171
8,54.246,0.6299,0.67143,1,0.84379,0.029796,0.009932,0.029796,0.009932,0.029796,0.009932,0.029796,0.009932
9,59.1114,0.6497,0.81429,1,0.9151,0.0297668,0.00992228,0.0297668,0.00992228,0.0297668,0.00992228,0.0297668,0.00992228
10,64.3857,0.64335,0.64286,1,0.97761,0.0297377,0.00991257,0.0297377,0.00991257,0.0297377,0.00991257,0.0297377,0.00991257
11,69.8344,0.65838,0.77143,1,0.78269,0.0297086,0.00990285,0.0297086,0.00990285,0.0297086,0.00990285,0.0297086,0.00990285
12,74.9062,0.5674,0.7,1,0.82569,0.0296794,0.00989314,0.0296794,0.00989314,0.0296794,0.00989314,0.0296794,0.00989314
13,80.0507,0.6329,0.7,1,0.8739,0.0296503,0.00988342,0.0296503,0.00988342,0.0296503,0.00988342,0.0296503,0.00988342
14,85.2368,0.59656,0.75714,1,1.01303,0.0296211,0.00987371,0.0296211,0.00987371,0.0296211,0.00987371,0.0296211,0.00987371
