epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.3939,1.2919,0.61429,1,0.892,0.000320624,0.000320624,0.000320624
2,14.0964,0.85872,0.70714,1,0.83573,0.000627432,0.000627432,0.000627432
3,17.3505,0.75212,0.68571,1,0.7504,0.000912722,0.000912722,0.000912722
4,20.5681,0.72312,0.72857,1,0.73085,0.0010017,0.0010017,0.0010017
5,23.8939,0.58884,0.75714,1,0.61972,0.000965268,0.000965268,0.000965268
6,27.1696,0.58567,0.75714,1,0.77387,0.000928835,0.000928835,0.000928835
7,30.3426,0.53216,0.74286,1,0.79303,0.000892402,0.000892402,0.000892402
8,33.493,0.45855,0.78571,1,0.79064,0.000855969,0.000855969,0.000855969
9,36.7093,0.44909,0.77143,1,0.74678,0.000819536,0.000819536,0.000819536
10,39.8849,0.49521,0.74286,1,0.848,0.000783103,0.000783103,0.000783103
11,43.0867,0.43723,0.77857,1,0.56643,0.00074667,0.00074667,0.00074667
12,46.2462,0.40519,0.75714,1,0.6659,0.000710237,0.000710237,0.000710237
13,49.6257,0.46396,0.76429,1,0.63517,0.000673804,0.000673804,0.000673804
14,52.8209,0.32613,0.75,1,0.76283,0.000637371,0.000637371,0.000637371
15,56.0729,0.34012,0.81429,1,0.68534,0.000600938,0.000600938,0.000600938
16,59.4353,0.28532,0.78571,1,0.59648,0.000564505,0.000564505,0.000564505
17,62.6145,0.28092,0.8,1,0.79562,0.000528072,0.000528072,0.000528072
18,65.7135,0.25132,0.77143,1,0.66363,0.000491639,0.000491639,0.000491639
19,68.9631,0.24652,0.76429,1,0.73116,0.000455206,0.000455206,0.000455206
20,72.323,0.22366,0.75714,1,0.83035,0.000418773,0.000418773,0.000418773
21,114.483,0.19823,0.81429,1,0.69659,0.00038234,0.00038234,0.00038234
22,117.997,0.21978,0.81429,1,0.65162,0.000345907,0.000345907,0.000345907
23,121.862,0.17884,0.83571,1,0.65731,0.000309473,0.000309473,0.000309473
24,125.617,0.16085,0.82857,1,0.64914,0.00027304,0.00027304,0.00027304
25,129.248,0.17876,0.8,1,0.7117,0.000236607,0.000236607,0.000236607
26,132.977,0.14837,0.75714,1,0.77457,0.000200174,0.000200174,0.000200174
27,136.592,0.15553,0.77143,1,0.68224,0.000163741,0.000163741,0.000163741
28,140.214,0.11074,0.75714,1,0.69655,0.000127308,0.000127308,0.000127308
29,144.07,0.12876,0.78571,1,0.69628,9.08754e-05,9.08754e-05,9.08754e-05
30,147.597,0.14452,0.76429,1,0.66184,5.44423e-05,5.44423e-05,5.44423e-05
