epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,247.322,0.35917,0.73571,1,1.12344,0.0287468,0.00958226,0.0287468,0.00958226,0.0287468,0.00958226,0.0287468,0.00958226
45,252.605,0.2978,0.72857,1,0.99669,0.0287176,0.00957254,0.0287176,0.00957254,0.0287176,0.00957254,0.0287176,0.00957254
46,256.962,0.3423,0.74286,1,1.2197,0.0286885,0.00956283,0.0286885,0.00956283,0.0286885,0.00956283,0.0286885,0.00956283
47,263.314,0.34074,0.77857,1,0.74531,0.0286593,0.00955311,0.0286593,0.00955311,0.0286593,0.00955311,0.0286593,0.00955311
48,269.64,0.30121,0.75714,1,0.83293,0.0286302,0.0095434,0.0286302,0.0095434,0.0286302,0.0095434,0.0286302,0.0095434
49,276.207,0.26474,0.77143,1,0.74764,0.0286011,0.00953368,0.0286011,0.00953368,0.0286011,0.00953368,0.0286011,0.00953368
50,282.413,0.30597,0.79286,1,0.70384,0.0285719,0.00952397,0.0285719,0.00952397,0.0285719,0.00952397,0.0285719,0.00952397
51,288.133,0.27035,0.78571,1,0.69792,0.0285428,0.00951425,0.0285428,0.00951425,0.0285428,0.00951425,0.0285428,0.00951425
52,292.781,0.24787,0.75714,1,0.84319,0.0285136,0.00950454,0.0285136,0.00950454,0.0285136,0.00950454,0.0285136,0.00950454
53,297.357,0.24888,0.74286,1,0.98319,0.0284845,0.00949483,0.0284845,0.00949483,0.0284845,0.00949483,0.0284845,0.00949483
54,301.795,0.26145,0.77143,1,0.73005,0.0284553,0.00948511,0.0284553,0.00948511,0.0284553,0.00948511,0.0284553,0.00948511
55,306.248,0.20133,0.77143,1,0.9306,0.0284262,0.0094754,0.0284262,0.0094754,0.0284262,0.0094754,0.0284262,0.0094754
56,310.587,0.20768,0.76429,1,0.82085,0.028397,0.00946568,0.028397,0.00946568,0.028397,0.00946568,0.028397,0.00946568
57,314.921,0.28528,0.77857,1,1.02942,0.0283679,0.00945597,0.0283679,0.00945597,0.0283679,0.00945597,0.0283679,0.00945597
58,319.127,0.23589,0.7,1,1.19823,0.0283388,0.00944625,0.0283388,0.00944625,0.0283388,0.00944625,0.0283388,0.00944625
59,323.455,0.22512,0.75,1,1.01624,0.0283096,0.00943654,0.0283096,0.00943654,0.0283096,0.00943654,0.0283096,0.00943654
