epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.86744,1.38389,0.61429,1,0.83753,0.000261055,0.000261055,0.000261055
2,14.5522,0.80214,0.75,1,0.8175,0.000517757,0.000517757,0.000517757
3,18.6825,0.68732,0.75714,1,0.6761,0.000763916,0.000763916,0.000763916
4,22.5108,0.65512,0.75,1,0.76425,0.000999532,0.000999532,0.000999532
5,26.1965,0.64503,0.65714,1,0.78053,0.0010233,0.0010233,0.0010233
6,29.8076,0.58082,0.72143,1,0.73555,0.00100137,0.00100137,0.00100137
7,33.5011,0.57126,0.62857,1,0.99671,0.000979449,0.000979449,0.000979449
8,37.1847,0.60807,0.72143,1,0.97059,0.000957524,0.000957524,0.000957524
9,40.8411,0.54354,0.73571,1,0.79368,0.000935599,0.000935599,0.000935599
10,44.5095,0.54172,0.75714,1,0.86793,0.000913674,0.000913674,0.000913674
11,48.1298,0.50322,0.72143,1,0.68265,0.000891749,0.000891749,0.000891749
12,51.711,0.47911,0.69286,1,0.7814,0.000869823,0.000869823,0.000869823
13,55.4604,0.47383,0.80714,1,0.68836,0.000847898,0.000847898,0.000847898
14,59.3097,0.36572,0.8,1,0.65264,0.000825973,0.000825973,0.000825973
15,62.9848,0.34445,0.78571,1,0.59412,0.000804048,0.000804048,0.000804048
16,66.6754,0.35258,0.71429,1,0.73707,0.000782123,0.000782123,0.000782123
17,70.3262,0.38447,0.75,1,0.82671,0.000760198,0.000760198,0.000760198
18,73.9744,0.32944,0.70714,1,0.75847,0.000738273,0.000738273,0.000738273
19,77.8773,0.28115,0.75714,1,0.81408,0.000716347,0.000716347,0.000716347
20,81.5347,0.26416,0.80714,1,0.64355,0.000694422,0.000694422,0.000694422
21,85.3548,0.24165,0.84286,1,0.68595,0.000672497,0.000672497,0.000672497
22,89.1278,0.24479,0.77143,1,0.73628,0.000650572,0.000650572,0.000650572
23,92.7943,0.23873,0.80714,1,0.85162,0.000628647,0.000628647,0.000628647
24,96.5132,0.26062,0.81429,1,0.65751,0.000606722,0.000606722,0.000606722
25,100.387,0.26799,0.82857,1,0.67717,0.000584797,0.000584797,0.000584797
26,104.076,0.2266,0.87857,1,0.52867,0.000562871,0.000562871,0.000562871
27,107.783,0.1963,0.85714,1,0.52915,0.000540946,0.000540946,0.000540946
28,111.529,0.17488,0.80714,1,0.71175,0.000519021,0.000519021,0.000519021
29,115.147,0.18506,0.82857,1,0.75778,0.000497096,0.000497096,0.000497096
30,118.83,0.1448,0.84286,1,0.63294,0.000475171,0.000475171,0.000475171
31,122.613,0.13837,0.79286,1,0.74594,0.000453246,0.000453246,0.000453246
32,126.317,0.13846,0.77857,1,0.84414,0.000431321,0.000431321,0.000431321
33,130.005,0.13644,0.81429,1,0.6715,0.000409396,0.000409396,0.000409396
34,133.687,0.17489,0.81429,1,0.69336,0.00038747,0.00038747,0.00038747
35,137.36,0.14563,0.83571,1,0.83952,0.000365545,0.000365545,0.000365545
36,141.077,0.11477,0.84286,1,0.66146,0.00034362,0.00034362,0.00034362
37,144.802,0.1261,0.80714,1,0.73496,0.000321695,0.000321695,0.000321695
38,148.474,0.10382,0.80714,1,0.78189,0.00029977,0.00029977,0.00029977
39,152.13,0.10325,0.80714,1,0.89101,0.000277845,0.000277845,0.000277845
40,155.838,0.10101,0.85714,1,0.76047,0.00025592,0.00025592,0.00025592
41,159.577,0.10278,0.84286,1,0.72631,0.000233994,0.000233994,0.000233994
42,163.316,0.07669,0.84286,1,0.7048,0.000212069,0.000212069,0.000212069
43,167.1,0.09263,0.85714,1,0.60922,0.000190144,0.000190144,0.000190144
44,170.751,0.07963,0.84286,1,0.63465,0.000168219,0.000168219,0.000168219
45,174.448,0.07789,0.85,1,0.63573,0.000146294,0.000146294,0.000146294
46,178.154,0.08508,0.85,1,0.72191,0.000124369,0.000124369,0.000124369
47,181.808,0.08072,0.85,1,0.6196,0.000102444,0.000102444,0.000102444
48,218.695,0.04988,0.84286,1,0.65533,8.05184e-05,8.05184e-05,8.05184e-05
49,222.411,0.07478,0.84286,1,0.60613,5.85933e-05,5.85933e-05,5.85933e-05
50,226.166,0.05983,0.85,1,0.60558,3.66681e-05,3.66681e-05,3.66681e-05
