epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.2523,1.33059,0.60714,1,0.93641,0.000261055,0.000261055,0.000261055
2,18.5597,0.88108,0.6,1,1.08124,0.000527138,0.000527138,0.000527138
3,25.4703,0.80137,0.74286,1,0.78235,0.000792167,0.000792167,0.000792167
4,32.3938,0.78627,0.72143,1,0.90251,0.00105614,0.00105614,0.00105614
5,39.2749,0.78787,0.66429,1,0.83691,0.00110223,0.00110223,0.00110223
6,46.0538,0.73177,0.69286,1,0.85645,0.00110004,0.00110004,0.00110004
7,52.9113,0.68337,0.7,1,0.97604,0.00109784,0.00109784,0.00109784
8,60.0154,0.74312,0.64286,1,0.90045,0.00109565,0.00109565,0.00109565
9,73.6683,0.65642,0.70714,1,0.82096,0.00109346,0.00109346,0.00109346
10,80.4788,0.72654,0.74286,1,0.94769,0.00109127,0.00109127,0.00109127
11,87.4343,0.65135,0.74286,1,0.72927,0.00108907,0.00108907,0.00108907
12,94.2927,0.61329,0.72857,1,0.77446,0.00108688,0.00108688,0.00108688
13,101.133,0.67271,0.72857,1,0.68491,0.00108469,0.00108469,0.00108469
14,107.872,0.63449,0.74286,1,0.64888,0.0010825,0.0010825,0.0010825
15,114.732,0.59917,0.7,1,0.77863,0.0010803,0.0010803,0.0010803
16,121.35,0.57723,0.72857,1,0.67267,0.00107811,0.00107811,0.00107811
17,128.107,0.5485,0.70714,1,0.79196,0.00107592,0.00107592,0.00107592
18,134.909,0.5166,0.75714,1,0.65293,0.00107373,0.00107373,0.00107373
19,141.735,0.41595,0.75,1,0.73319,0.00107153,0.00107153,0.00107153
20,148.579,0.45933,0.72857,1,0.87196,0.00106934,0.00106934,0.00106934
21,155.365,0.4504,0.69286,1,0.81948,0.00106715,0.00106715,0.00106715
22,162.085,0.44131,0.7,1,0.7716,0.00106496,0.00106496,0.00106496
23,168.807,0.45002,0.72857,1,0.75948,0.00106276,0.00106276,0.00106276
24,175.495,0.44818,0.67857,1,0.78454,0.00106057,0.00106057,0.00106057
25,182.186,0.40871,0.68571,1,0.7649,0.00105838,0.00105838,0.00105838
26,189.006,0.40217,0.70714,1,0.64442,0.00105619,0.00105619,0.00105619
27,195.813,0.4036,0.69286,1,0.78584,0.00105399,0.00105399,0.00105399
28,202.707,0.34719,0.75,1,0.84647,0.0010518,0.0010518,0.0010518
29,209.529,0.49797,0.72143,1,0.9399,0.00104961,0.00104961,0.00104961
30,216.326,0.38544,0.75,1,0.83924,0.00104742,0.00104742,0.00104742
31,223.103,0.3994,0.72143,1,0.85612,0.00104522,0.00104522,0.00104522
32,229.821,0.38006,0.75,1,0.64013,0.00104303,0.00104303,0.00104303
33,236.539,0.37043,0.77143,1,0.65184,0.00104084,0.00104084,0.00104084
34,243.664,0.39733,0.70714,1,0.96038,0.00103865,0.00103865,0.00103865
35,251.005,0.41474,0.69286,1,0.84611,0.00103645,0.00103645,0.00103645
36,258.33,0.41648,0.71429,1,0.8279,0.00103426,0.00103426,0.00103426
37,265.847,0.37383,0.68571,1,0.88558,0.00103207,0.00103207,0.00103207
38,273.375,0.3094,0.66429,1,0.96538,0.00102988,0.00102988,0.00102988
39,280.766,0.32313,0.75714,1,0.94639,0.00102768,0.00102768,0.00102768
40,288.137,0.31531,0.75714,1,0.87595,0.00102549,0.00102549,0.00102549
41,295.113,0.30052,0.70714,1,0.99888,0.0010233,0.0010233,0.0010233
42,301.957,0.25735,0.70714,1,0.88929,0.00102111,0.00102111,0.00102111
43,309.354,0.26797,0.69286,1,0.86449,0.00101891,0.00101891,0.00101891
44,316.806,0.2507,0.76429,1,0.85611,0.00101672,0.00101672,0.00101672
45,324.119,0.2962,0.77857,1,0.77026,0.00101453,0.00101453,0.00101453
46,331.404,0.25397,0.76429,1,0.89531,0.00101234,0.00101234,0.00101234
47,338.548,0.24884,0.78571,1,0.79795,0.00101014,0.00101014,0.00101014
48,345.749,0.2884,0.73571,1,0.83105,0.00100795,0.00100795,0.00100795
49,352.868,0.25402,0.69286,1,0.7781,0.00100576,0.00100576,0.00100576
50,360.042,0.28745,0.72143,1,0.87534,0.00100357,0.00100357,0.00100357
51,367.29,0.27052,0.76429,1,0.77485,0.00100137,0.00100137,0.00100137
52,374.394,0.2782,0.75,1,0.71269,0.000999182,0.000999182,0.000999182
53,381.743,0.27863,0.71429,1,0.93362,0.000996989,0.000996989,0.000996989
54,388.894,0.24727,0.8,1,0.70875,0.000994797,0.000994797,0.000994797
55,396.153,0.27484,0.74286,1,0.835,0.000992604,0.000992604,0.000992604
56,403.408,0.21533,0.76429,1,0.74687,0.000990412,0.000990412,0.000990412
57,410.614,0.26196,0.74286,1,0.93733,0.000988219,0.000988219,0.000988219
58,417.737,0.23366,0.67857,1,0.955,0.000986027,0.000986027,0.000986027
59,424.922,0.2094,0.8,1,0.80974,0.000983834,0.000983834,0.000983834
60,432.156,0.19911,0.75,1,1.006,0.000981642,0.000981642,0.000981642
61,439.395,0.20487,0.77143,1,0.92466,0.000979449,0.000979449,0.000979449
62,446.602,0.19245,0.72857,1,0.89853,0.000977257,0.000977257,0.000977257
63,453.864,0.18455,0.72857,1,1.18026,0.000975064,0.000975064,0.000975064
64,461.055,0.1444,0.76429,1,1.00862,0.000972872,0.000972872,0.000972872
65,468.256,0.20808,0.72143,1,1.04889,0.000970679,0.000970679,0.000970679
66,475.451,0.24113,0.71429,1,1.0052,0.000968487,0.000968487,0.000968487
67,482.73,0.21632,0.8,1,1.04167,0.000966294,0.000966294,0.000966294
68,490.147,0.27182,0.77143,1,1.01048,0.000964102,0.000964102,0.000964102
69,497.36,0.16906,0.73571,1,1.02432,0.000961909,0.000961909,0.000961909
70,504.903,0.1974,0.77143,1,0.85724,0.000959717,0.000959717,0.000959717
71,512.145,0.2143,0.74286,1,0.83114,0.000957524,0.000957524,0.000957524
72,519.398,0.2065,0.75,1,0.73174,0.000955332,0.000955332,0.000955332
73,526.547,0.20771,0.75714,1,0.74838,0.000953139,0.000953139,0.000953139
74,533.736,0.22432,0.74286,1,0.94551,0.000950946,0.000950946,0.000950946
75,541.026,0.21379,0.72857,1,0.87253,0.000948754,0.000948754,0.000948754
76,548.252,0.19124,0.74286,1,0.82572,0.000946561,0.000946561,0.000946561
77,555.509,0.16863,0.8,1,0.89023,0.000944369,0.000944369,0.000944369
78,562.814,0.16931,0.77857,1,0.83291,0.000942176,0.000942176,0.000942176
79,570.045,0.15948,0.77143,1,0.91681,0.000939984,0.000939984,0.000939984
80,577.284,0.22151,0.75,1,0.94865,0.000937791,0.000937791,0.000937791
81,584.604,0.15274,0.77143,1,0.75618,0.000935599,0.000935599,0.000935599
82,591.807,0.17906,0.78571,1,1.06293,0.000933406,0.000933406,0.000933406
83,599.074,0.21361,0.77857,1,0.96164,0.000931214,0.000931214,0.000931214
84,606.348,0.20096,0.75714,1,1.04718,0.000929021,0.000929021,0.000929021
85,625.798,0.14416,0.75,1,0.83899,0.000926829,0.000926829,0.000926829
86,632.938,0.16776,0.75,1,0.85309,0.000924636,0.000924636,0.000924636
87,640.045,0.11892,0.78571,1,1.01114,0.000922444,0.000922444,0.000922444
88,647.215,0.15575,0.75,1,0.89183,0.000920251,0.000920251,0.000920251
89,654.347,0.17665,0.75714,1,0.84865,0.000918059,0.000918059,0.000918059
90,661.562,0.16784,0.78571,1,0.90569,0.000915866,0.000915866,0.000915866
91,668.823,0.14768,0.77857,1,0.86433,0.000913674,0.000913674,0.000913674
92,676.251,0.15645,0.75714,1,1.02841,0.000911481,0.000911481,0.000911481
93,683.58,0.13562,0.72143,1,0.79047,0.000909289,0.000909289,0.000909289
94,690.773,0.1859,0.77143,1,0.84197,0.000907096,0.000907096,0.000907096
95,697.997,0.17287,0.73571,1,1.01363,0.000904904,0.000904904,0.000904904
96,705.188,0.12242,0.77857,1,1.16592,0.000902711,0.000902711,0.000902711
97,712.445,0.13973,0.8,1,0.97949,0.000900519,0.000900519,0.000900519
98,719.78,0.13738,0.79286,1,0.86688,0.000898326,0.000898326,0.000898326
99,727.001,0.19966,0.79286,1,1.17882,0.000896134,0.000896134,0.000896134
100,734.265,0.12694,0.8,1,0.69517,0.000893941,0.000893941,0.000893941
101,741.585,0.12042,0.79286,1,0.75925,0.000891749,0.000891749,0.000891749
102,748.819,0.10495,0.75714,1,0.91108,0.000889556,0.000889556,0.000889556
103,756.19,0.12721,0.8,1,0.89054,0.000887364,0.000887364,0.000887364
104,763.548,0.16571,0.78571,1,0.88968,0.000885171,0.000885171,0.000885171
105,770.765,0.109,0.77143,1,0.881,0.000882979,0.000882979,0.000882979
106,778.077,0.15906,0.78571,1,0.80272,0.000880786,0.000880786,0.000880786
107,785.311,0.12999,0.78571,1,0.85889,0.000878594,0.000878594,0.000878594
108,792.555,0.10901,0.75714,1,0.85046,0.000876401,0.000876401,0.000876401
109,799.797,0.13036,0.77857,1,0.9946,0.000874208,0.000874208,0.000874208
110,807.069,0.16061,0.82857,1,0.67384,0.000872016,0.000872016,0.000872016
111,819.175,0.10219,0.82143,1,0.71015,0.000869823,0.000869823,0.000869823
112,826.44,0.17791,0.77857,1,1.16264,0.000867631,0.000867631,0.000867631
113,833.684,0.12787,0.77143,1,1.08639,0.000865438,0.000865438,0.000865438
